architecture,scenario,round,n_clients,clients_participated,duration_sec,success,test_acc,test_loss,bytes_to_aggregator,bytes_p2p_direct,bytes_relay,timestamp
B,net_churn50,1,10,5,0.10935029992833734,True,0.04318181818181818,3.0798632578416303,187285,187285,0,1783418012.4606106
B,net_churn50,2,10,5,0.1074415692128241,True,0.045454545454545456,3.066232208772139,187285,187285,0,1783418012.5682352
B,net_churn50,3,10,5,0.11838018102571368,True,0.045454545454545456,3.039879222349687,187285,187285,0,1783418012.6867924
B,net_churn50,4,10,5,0.12623049365356565,True,0.045454545454545456,2.9940464713356714,187285,187285,0,1783418012.8132017
B,net_churn50,5,10,5,0.10154255200177431,True,0.05227272727272727,2.9684267954392864,187285,187285,0,1783418012.9149215
B,net_churn50,6,10,5,0.19023547787219286,True,0.075,2.9363006765192203,187285,187285,0,1783418013.1053348
B,net_churn50,7,10,5,0.10623658122494817,True,0.08409090909090909,2.9076277646151456,187285,187285,0,1783418013.2117515
B,net_churn50,8,10,5,0.09449628926813602,True,0.09318181818181819,2.8920693137428977,187285,187285,0,1783418013.3064265
B,net_churn50,9,10,5,0.10499768191948533,True,0.10909090909090909,2.8649172349409624,187285,187285,0,1783418013.4116035
B,net_churn50,10,10,5,0.10944676073268056,True,0.18863636363636363,2.8302695187655362,187285,187285,0,1783418013.521235
B,net_churn50,11,10,5,0.11559140169993043,True,0.19090909090909092,2.7934721990065143,187285,187285,0,1783418013.6370046
B,net_churn50,12,10,5,0.10353795904666185,True,0.20227272727272727,2.772577346454967,187285,187285,0,1783418013.740726
B,net_churn50,13,10,5,0.10022508818656206,True,0.20227272727272727,2.7576491876081985,187285,187285,0,1783418013.8411286
B,net_churn50,14,10,5,0.11891373107209802,True,0.21818181818181817,2.7325912128795276,187285,187285,0,1783418013.960229
B,net_churn50,15,10,5,0.1050081430003047,True,0.21363636363636362,2.7190831834619695,187285,187285,0,1783418014.06543
B,net_churn50,16,10,5,0.10433155298233032,True,0.21818181818181817,2.713340711593628,187285,187285,0,1783418014.1699505
B,net_churn50,17,10,5,0.10517224110662937,True,0.21136363636363636,2.6868070949207654,187285,187285,0,1783418014.2753053
B,net_churn50,18,10,5,0.09880110807716846,True,0.2431818181818182,2.6521544153040106,187285,187285,0,1783418014.3742852
B,net_churn50,19,10,5,0.09715595003217459,True,0.27045454545454545,2.624558908289129,187285,187285,0,1783418014.47162
B,net_churn50,20,10,5,0.09231770876795053,True,0.27954545454545454,2.607755253531716,187285,187285,0,1783418014.5641215
B,net_churn50,21,10,5,0.11585592804476619,True,0.30227272727272725,2.578717730262063,187285,187285,0,1783418014.6801646
B,net_churn50,22,10,5,0.1159850531257689,True,0.3068181818181818,2.5584194053303113,187285,187285,0,1783418014.7963493
B,net_churn50,23,10,5,0.10340521158650517,True,0.33636363636363636,2.531083700873635,187285,187285,0,1783418014.8999393
B,net_churn50,24,10,5,0.10539213288575411,True,0.3386363636363636,2.491680470379916,187285,187285,0,1783418015.005513
B,net_churn50,25,10,5,0.11212589917704463,True,0.3386363636363636,2.458245156028054,187285,187285,0,1783418015.1178312
B,net_churn50,26,10,5,0.11393088893964887,True,0.30454545454545456,2.4394794420762493,187285,187285,0,1783418015.2319827
B,net_churn50,27,10,5,0.10246935300529003,True,0.31363636363636366,2.4223659515380858,187285,187285,0,1783418015.3346477
B,net_churn50,28,10,5,0.1192726450972259,True,0.36363636363636365,2.3803542830727316,187285,187285,0,1783418015.4541216
B,net_churn50,29,10,5,0.11752597521990538,True,0.32272727272727275,2.3265223329717464,187285,187285,0,1783418015.571836
B,net_churn50,30,10,5,0.11576840188354254,True,0.36363636363636365,2.290921705419367,187285,187285,0,1783418015.6878455
B,net_churn50,31,10,5,0.10646993899717927,True,0.3431818181818182,2.26090161150152,187285,187285,0,1783418015.794503
B,net_churn50,32,10,5,0.10950398538261652,True,0.375,2.213072022524747,187285,187285,0,1783418015.9042044
B,net_churn50,33,10,5,0.1168895922601223,True,0.3795454545454545,2.1982820250771264,187285,187285,0,1783418016.0212889
B,net_churn50,34,10,5,0.09731696313247085,True,0.37727272727272726,2.136461266604337,187285,187285,0,1783418016.1187956
B,net_churn50,35,10,5,0.11692220298573375,True,0.375,2.102840042114258,187285,187285,0,1783418016.235903
B,net_churn50,36,10,5,0.1122063952498138,True,0.32272727272727275,2.0854229710318823,187285,187285,0,1783418016.3483071
B,net_churn50,37,10,5,0.10817748680710793,True,0.3522727272727273,2.0818756623701615,187285,187285,0,1783418016.4566655
B,net_churn50,38,10,5,0.11128738522529602,True,0.4,2.0073313583027232,187285,187285,0,1783418016.5681381
B,net_churn50,39,10,5,0.10951621597632766,True,0.3886363636363636,1.981012487411499,187285,187285,0,1783418016.6778338
B,net_churn50,40,10,5,0.09731350094079971,True,0.4159090909090909,1.936351000178944,187285,187285,0,1783418016.7753253
B,net_churn50,41,10,5,0.10782700264826417,True,0.42045454545454547,1.932187522541393,187285,187285,0,1783418016.8833325
B,net_churn50,42,10,5,0.10970196174457669,True,0.42727272727272725,1.8855436368422074,187285,187285,0,1783418016.9932132
B,net_churn50,43,10,5,0.10212295921519399,True,0.4409090909090909,1.836608379537409,187285,187285,0,1783418017.0955148
B,net_churn50,44,10,5,0.12490382324904203,True,0.45227272727272727,1.8235495263879948,187285,187285,0,1783418017.220598
B,net_churn50,45,10,5,0.11734292702749372,True,0.43636363636363634,1.7927945483814587,187285,187285,0,1783418017.338127
B,net_churn50,46,10,5,0.09712305199354887,True,0.509090909090909,1.7410168517719615,187285,187285,0,1783418017.4354346
B,net_churn50,47,10,5,0.1060521942563355,True,0.475,1.7425350189208983,187285,187285,0,1783418017.541668
B,net_churn50,48,10,5,0.09224363695830107,True,0.5,1.7131480607119474,187285,187285,0,1783418017.634096
B,net_churn50,49,10,5,0.10974424984306097,True,0.55,1.6837751735340465,187285,187285,0,1783418017.7440174
B,net_churn50,50,10,5,0.11070308508351445,True,0.5318181818181819,1.6644216819242998,187285,187285,0,1783418017.8548996
B,net_churn50,51,10,5,0.10782478097826242,True,0.525,1.6557487639513884,187285,187285,0,1783418017.9629037
B,net_churn50,52,10,5,0.12026918027549982,True,0.5,1.6816538095474243,187285,187285,0,1783418018.0833488
B,net_churn50,53,10,5,0.1270799390040338,True,0.509090909090909,1.6518989758058027,187285,187285,0,1783418018.2106063
B,net_churn50,54,10,5,0.12493288982659578,True,0.49772727272727274,1.615144430507313,187285,187285,0,1783418018.3357313
B,net_churn50,55,10,5,0.09770097676664591,True,0.4954545454545455,1.5880030566995793,187285,187285,0,1783418018.4336092
B,net_churn50,56,10,5,0.10653186403214931,True,0.5068181818181818,1.5229199561205777,187285,187285,0,1783418018.5403287
B,net_churn50,57,10,5,0.09231302421540022,True,0.5318181818181819,1.4762938976287843,187285,187285,0,1783418018.6328208
B,net_churn50,58,10,5,0.11407664511352777,True,0.49318181818181817,1.5169415473937988,187285,187285,0,1783418018.747074
B,net_churn50,59,10,5,0.11280996585264802,True,0.5295454545454545,1.451912674036893,187285,187285,0,1783418018.8600612
B,net_churn50,60,10,5,0.11280568409711123,True,0.5181818181818182,1.437714403325861,187285,187285,0,1783418018.973046
B,net_churn50,61,10,5,0.12066908786073327,True,0.525,1.410244677283547,187285,187285,0,1783418019.0938947
B,net_churn50,62,10,5,0.10249708220362663,True,0.5454545454545454,1.3764133279973811,187285,187285,0,1783418019.1965709
B,net_churn50,63,10,5,0.10037062596529722,True,0.6409090909090909,1.3415534734725951,187285,187285,0,1783418019.297126
B,net_churn50,64,10,5,0.11757733719423413,True,0.615909090909091,1.3348436398939654,187285,187285,0,1783418019.414883
B,net_churn50,65,10,5,0.10473485384136438,True,0.625,1.2709065047177401,187285,187285,0,1783418019.5197957
B,net_churn50,66,10,5,0.10593492584303021,True,0.5977272727272728,1.2851667230779475,187285,187285,0,1783418019.625909
B,net_churn50,67,10,5,0.11748889880254865,True,0.5886363636363636,1.283013694936579,187285,187285,0,1783418019.743579
B,net_churn50,68,10,5,0.11426319601014256,True,0.5636363636363636,1.2814001668583264,187285,187285,0,1783418019.8580294
B,net_churn50,69,10,5,0.10338544379919767,True,0.6181818181818182,1.2105724464763294,187285,187285,0,1783418019.9615939
B,net_churn50,70,10,5,0.20197800593450665,True,0.5886363636363636,1.2309692577882247,187285,187285,0,1783418020.163763
B,net_churn50,71,10,5,0.10694298194721341,True,0.5727272727272728,1.1894514647397127,187285,187285,0,1783418020.2709138
B,net_churn50,72,10,5,0.11091468809172511,True,0.6113636363636363,1.171310385790738,187285,187285,0,1783418020.3820107
B,net_churn50,73,10,5,0.09916734788566828,True,0.6090909090909091,1.118732924894853,187285,187285,0,1783418020.4813564
B,net_churn50,74,10,5,0.1080547021701932,True,0.6590909090909091,1.1105502128601075,187285,187285,0,1783418020.5895915
B,net_churn50,75,10,5,0.10942648397758603,True,0.6181818181818182,1.1407097036188298,187285,187285,0,1783418020.6992033
B,net_churn50,76,10,5,0.11604775069281459,True,0.5568181818181818,1.150400109724565,187285,187285,0,1783418020.8154485
B,net_churn50,77,10,5,0.0970650902017951,True,0.6204545454545455,1.089345435662703,187285,187285,0,1783418020.9126902
B,net_churn50,78,10,5,0.09898985177278519,True,0.6113636363636363,1.1108042998747392,187285,187285,0,1783418021.0118694
B,net_churn50,79,10,5,0.11635282216593623,True,0.6295454545454545,1.0877999565818093,187285,187285,0,1783418021.1284027
B,net_churn50,80,10,5,0.10660460311919451,True,0.6272727272727273,1.04406062039462,187285,187285,0,1783418021.2351866
B,net_churn50,81,10,5,0.1071195607073605,True,0.6181818181818182,1.0577961813319814,187285,187285,0,1783418021.3424847
B,net_churn50,82,10,5,0.11749467113986611,True,0.6,1.0464657371694392,187285,187285,0,1783418021.4601607
B,net_churn50,83,10,5,0.09272732492536306,True,0.634090909090909,1.0059599594636397,187285,187285,0,1783418021.5530674
B,net_churn50,84,10,5,0.10175664816051722,True,0.675,1.0065359158949418,187285,187285,0,1783418021.6550035
B,net_churn50,85,10,5,0.10767816985026002,True,0.6840909090909091,0.9909710212187334,187285,187285,0,1783418021.7628608
B,net_churn50,86,10,5,0.10090563679113984,True,0.7,0.9656467047604648,187285,187285,0,1783418021.8639443
B,net_churn50,87,10,5,0.10845329705625772,True,0.6681818181818182,1.0026875365864147,187285,187285,0,1783418021.972578
B,net_churn50,88,10,5,0.11917766463011503,True,0.6704545454545454,0.9667229240590876,187285,187285,0,1783418022.091942
B,net_churn50,89,10,5,0.10337720578536391,True,0.6545454545454545,0.9818610971624201,187285,187285,0,1783418022.1954968
B,net_churn50,90,10,5,0.10814107209444046,True,0.6636363636363637,0.9583627765828913,187285,187285,0,1783418022.3038166
B,net_churn50,91,10,5,0.10355345020070672,True,0.6772727272727272,0.9727685581554066,187285,187285,0,1783418022.4075465
B,net_churn50,92,10,5,0.11178248189389706,True,0.6886363636363636,0.9424051241441207,187285,187285,0,1783418022.5195074
B,net_churn50,93,10,5,0.11612069327384233,True,0.6818181818181818,0.9700095545161854,187285,187285,0,1783418022.6358047
B,net_churn50,94,10,5,0.11614805972203612,True,0.6818181818181818,0.978039381720803,187285,187285,0,1783418022.7521317
B,net_churn50,95,10,5,0.12686125375330448,True,0.6590909090909091,0.9636389580639926,187285,187285,0,1783418022.8791707
B,net_churn50,96,10,5,0.10184643277898431,True,0.7022727272727273,0.8979885469783436,187285,187285,0,1783418022.9811938
B,net_churn50,97,10,5,0.12529251584783196,True,0.6590909090909091,0.8970377174290743,187285,187285,0,1783418023.1066656
B,net_churn50,98,10,5,0.11115133296698332,True,0.6727272727272727,0.8923790368166837,187285,187285,0,1783418023.218003
B,net_churn50,99,10,5,0.11601922195404768,True,0.6636363636363637,0.8522125254977834,187285,187285,0,1783418023.334202
B,net_churn50,100,10,5,0.12054336303845048,True,0.6613636363636364,0.8653336969288913,187285,187285,0,1783418023.4549232
